State Abbreviation,State Name,"Age-Adjusted Mortality (per 100,000)",95% Confidence Interval,Quartile
HI,Hawaii,44.5,39.6 - 49.5,44.5 - 94.0
DC,District of Columbia,50.8,41.8 - 59.8,44.5 - 94.0
NJ,New Jersey,71.1,68.4 - 73.7,44.5 - 94.0
NY,New York,74.4,72.6 - 76.2,44.5 - 94.0
CT,Connecticut,76.3,72.2 - 80.4,44.5 - 94.0
MD,Maryland,79.6,76.2 - 83.1,44.5 - 94.0
CA,California,79.7,78.3 - 81.1,44.5 - 94.0
AK,Alaska,81.7,69.4 - 93.9,44.5 - 94.0
MA,Massachusetts,85.5,82.3 - 88.8,44.5 - 94.0
UT,Utah,86,80.0 - 92.0,44.5 - 94.0
MN,Minnesota,87.2,83.5 - 90.9,44.5 - 94.0
WA,Washington,93.8,90.3 - 97.2,44.5 - 94.0
RI,Rhode Island,94,85.5 - 102.5,44.5 - 94.0
PA,Pennsylvania,94.7,92.3 - 97.1,94.1 - 108.0
IL,Illinois,96.1,93.5 - 98.7,94.1 - 108.0
FL,Florida,97.1,95.3 - 98.9,94.1 - 108.0
DE,Delaware,97.6,88.6 - 106.6,94.1 - 108.0
ND,North Dakota,97.6,86.9 - 108.4,94.1 - 108.0
VA,Virginia,99,95.7 - 102.3,94.1 - 108.0
VT,Vermont,100.7,89.6 - 111.8,94.1 - 108.0
WI,Wisconsin,101.2,97.4 - 105.1,94.1 - 108.0
AZ,Arizona,104.8,101.3 - 108.3,94.1 - 108.0
OR,Oregon,105.5,100.9 - 110.1,94.1 - 108.0
LA,Louisiana,107.6,102.9 - 112.3,94.1 - 108.0
TX,Texas,108,105.9 - 110.1,94.1 - 108.0
NH,New Hampshire,110,101.9 - 118.1,108.1 - 132.8
NM,New Mexico,111.3,104.6 - 118.0,108.1 - 132.8
CO,Colorado,113.7,109.1 - 118.3,108.1 - 132.8
NC,North Carolina,115.6,112.5 - 118.8,108.1 - 132.8
GA,Georgia,116.7,113.3 - 120.1,108.1 - 132.8
SC,South Carolina,119.5,115.0 - 123.9,108.1 - 132.8
IA,Iowa,120.1,114.5 - 125.7,108.1 - 132.8
MI,Michigan,121,117.8 - 124.1,108.1 - 132.8
SD,South Dakota,126.5,115.3 - 137.7,108.1 - 132.8
NE,Nebraska,126.8,119.1 - 134.5,108.1 - 132.8
OH,Ohio,127.4,124.4 - 130.4,108.1 - 132.8
MO,Missouri,129.9,125.6 - 134.1,108.1 - 132.8
NV,Nevada,132.8,126.2 - 139.3,108.1 - 132.8
ID,Idaho,133,124.6 - 141.5,132.9 - 174.6
ME,Maine,133.3,124.9 - 141.8,132.9 - 174.6
KS,Kansas,133.7,127.3 - 140.1,132.9 - 174.6
MT,Montana,143,132.6 - 153.4,132.9 - 174.6
WY,Wyoming,144.9,130.0 - 159.9,132.9 - 174.6
TN,Tennessee,147.9,143.5 - 152.3,132.9 - 174.6
AL,Alabama,154.5,149.3 - 159.7,132.9 - 174.6
IN,Indiana,155.5,150.9 - 160.1,132.9 - 174.6
MS,Mississippi,157.1,150.2 - 164.1,132.9 - 174.6
AR,Arkansas,167.1,160.2 - 173.9,132.9 - 174.6
OK,Oklahoma,174.2,167.9 - 180.6,132.9 - 174.6
WV,West Virginia,174.4,165.9 - 183.0,132.9 - 174.6
KY,Kentucky,174.6,168.7 - 180.5,132.9 - 174.6