Year,Overall,Overall 95% Confidence Interval,Men,Men 95% Confidence Interval,Women,Women 95% Confidence Interval
2011,5.9,5.5 - 6.4,5.3,4.8 - 5.7,6.6,5.9 - 7.1
2012,5.8,5.5 - 6.5,5.6,5.1 - 5.9,6.1,5.9 - 7.0
2013,6.1,5.5 - 6.5,5.3,4.9 - 5.9,6.5,6.1 - 7.3
2014,6.1,5.4 - 6.6,5.4,5.0 - 5.7,6.5,6.0 - 7.1
2015,5.8,5.3 - 6.2,5.2,4.9 - 5.6,6.2,5.7 - 7.0
2016,5.9,5.4 - 6.6,5.5,4.9 - 5.9,6.6,5.8 - 7.2
2017,5.9,5.5 - 6.6,5.4,5.1 - 5.9,6.6,5.9 - 7.2
2018,6.2,5.6 - 6.7,5.6,5.1 - 6.0,6.5,6.2 - 7.4
2019,6,5.2 - 7.0,5.2,4.9 - 6.3,6.4,5.9 - 7.4
2020,5.6,5.2 - 6.2,5.2,4.7 - 5.7,5.9,5.4 - 6.4